product_category,problem,repair_status,brand,model,year_of_manufacture
tablet,kindle isnt charging new battery needed,repairable,Amazon,kindle,????
misc,dvd player turns off randomly,end of life,Unknown,Unknown,????
vacuum,hand held vaccum wire was chewed by dog,fixed,Dyson,Unknown,????
hi fi separates,bluetooth speaker power socket is loose,fixed,Bosch,Unknown,????
small kitchen item,standing mixer doesnt start,end of life,Unknown,Unknown,????
lamp,lamp has come away from base,fixed,Unknown,Unknown,????
decorative or safety lights,xmas decoration button has pushed back inside case,fixed,Unknown,Unknown,????
handheld entertainment device,just stopped,fixed,Unknown,cb power mk101,????
lamp,brandt niet,fixed,Unknown,Unknown,????
small kitchen item,pompt geen water,fixed,Philips,Senseo HG7810,????
small kitchen item,waterreservoir stuk,repairable,Philips,Senseo 7810,????
small kitchen item,totaal defect,end of life,Philips,Koffiezet,????
misc,kalk en lek,end of life,Unknown,Stoomstrijkijzer,????
small kitchen item,controle,fixed,Unknown,Tristar mixer,????
dlsr video camera,mini usb socket loose,fixed,unbranded,Dashcam,????
vacuum,filters blocked frequently cleaned out filters and motor,fixed,Miele,S6220,????
misc,battery compartment broken fixed with sugru,fixed,Unknown,Clock,????
portable radio,power switch snapped glued,fixed,Red,-,????
headphones,very quiet could not access internals,repairable,Sennheiser,-,????
misc,loose leg,fixed,Ray Ban,,????
misc,loose glass on one side,fixed,Seiko,Clock & thermometer,????
misc,overwound cog displaced,fixed,Unknown,Antique clock,????
misc,time running fast likely capacitor leaking,end of life,Siemens,RG359 clock radio,????
toy,battery dead,repairable,Unknown,electric motorbike,????
toaster,loose toast rack one set not staying down connection to end plate gone,end of life,Unknown,Unknown,????
decorative or safety lights,burnt bulb and fitting,fixed,Unknown,Unknown,????
decorative or safety lights,burnt bulb,repairable,Unknown,Maglite hand torch,????
toy,jammed legs,fixed,Unknown,Tyco Transformer,????
misc,snapped,fixed,Unknown,assorted jewellery,????
misc,blunt resharpened,fixed,Unknown,Wolff garden shears,????
vacuum,head not rotating circuit not delivering 240 v to motor need replacement head,repairable,Dyson,DC24,????
misc,blunt taken apart resharpened,fixed,Unknown,scissors,????
misc,handle broken off removed rivets drilled out holes to 8 mm screwed in 8 mm bolts cut off excess,fixed,Unknown,saucepan,????
lamp,burnt out switch,repairable,Unknown,Table,????
misc,not operating,repairable,Unknown,Plasma generator air purifier,????
misc,motor burnt out,repairable,Kenwood,Food mixer,????
misc,not working owner unsure how to operate,repairable,IKEA,"Induction hob, portable",????
lamp,not turning on new fuse needed,fixed,Unknown,Standard,????
misc,not opening,fixed,Unknown,Automatic lid of bin,????
misc,pedal clicking and not pressing down correctly opened and adjusted,fixed,Unknown,Sewing machine pedal,????
vacuum,not operational,repairable,VAX,Unknown,????
misc,heat fuses opened boiled dry,repairable,Unknown,Tommy Tippee food prep machine,????
vacuum,blocked hose,fixed,Hoover,Unknown,????
misc,not working cleaned and oiled with wd40,fixed,Dyson,Cleaner,????
lamp,needs reducer,repairable,Unknown,Standard,????
misc,dead cut out fixed,fixed,Unknown,Horse clippers,????
misc,replaced mains adaptor,fixed,Unknown,Clock radio,????
misc,not working soldered wires back in place,fixed,Unknown,Rechargeable bike light,????
hi fi integrated,cd does not spin,repairable,Sony,CD Radio Cassette,????
headphones,cable broken inside,repairable,Unknown,Unknown,????
portable radio,unable to progress as the light led has failed,repairable,Unknown,DAB,????
misc,rattling not working no obvious fault,repairable,Sony,CD walkman,????
misc,not running fixed,fixed,Kenwood,Mixer,????
laptop,software issue with firefox,fixed,Acer,Unknown,????
decorative or safety lights,battery contacts cleaned and checked,repairable,Unknown,Solar,????
lamp,,fixed,Unknown,?,????
vacuum,dust container screwed on wrong way,fixed,VAX,Container,????
lamp,bulb fitting has been altered by owner and can not be repaired,end of life,Unknown,Standard,????
power tool,do not run system board failed,end of life,Kenwood,Planetary mixer,????
pc accessory,microusb broken we did not think to have spare parts but another repair table had,end of life,Unknown,Mini loudspeaker,????
misc,charges itself but do not recharge,fixed,Unknown,powerbank,????
laptop,microusb broken changed and working but also the screen was broken we don t know how and when it was of an our volunteer,end of life,Clementoni,clemtab,????
power tool,only half power,repairable,Braun,mixer,????
hair beauty item,do not recharge it was a battery operated hair and beard trimmer contact issues used a little of sugru,fixed,Panasonic,Beard Trimmer,????
misc,clean channel not clean,fixed,Unknown,Electric guitar amplifier Brand: Mega,????
hair beauty item,do not switch on unmounted with some difficulty tested and remounted not know what was the problem but actually it works,fixed,Unknown,Phon Elchim,????
misc,does not heat micro resistances in the control were dis soldered due the extreme running temperature bad project it broken fast and could create real problems burn lidl should check it and avoid selling,fixed,Lidl,heating pad,????
lamp,cable dis soldered,fixed,Unknown,Vintage,????
hi fi integrated,electric track burned rebuilded with soldered cable,fixed,Unknown,portable stereo,????
misc,litio batteries exhausted little running time,repairable,Unknown,power bank for lawn mower,????
fan,engine,fixed,Unknown,Unknown,????
tablet,battery,repairable,Unknown,Unknown,????
misc,stitching working incorrectly,fixed,Unknown,Sewing machine,????
misc,sticks,end of life,Unknown,WHSmith Laminator,????
portable radio,aerial needed soldering back on,fixed,Unknown,Unknown,????
handheld entertainment device,charger port loose,repairable,Amazon,Fire,????
power tool,handle detached,fixed,Black & Decker,GT231 Hedge Cutter,????
small kitchen item,spring come loose,end of life,Swann,SP25010GN Food mixer,????
lamp,not connecting,fixed,Unknown,Pair of touch lamps,????
vacuum,poor suction,fixed,Dyson,Unknown,????
desktop computer,refurb computer rebuild using recycled hdd and odd,fixed,Unknown,Latitude,????
laptop,repurpose os reload hdd cleaned new keyboard,fixed,Asos,Aspire 4532,????
laptop,help with office application loaded libre office,fixed,HP,250 G2,????
misc,light and buzzer on all the time transistor needs replacing,repairable,Rapitest,Multicheck,????
misc,want to know if it is working has project in mind tested and producing voltage,fixed,Unknown,Wind turbine,????
vacuum,unable to put it together to operate assembled successfully,fixed,Dyson,Hand-held,????
small kitchen item,it was working however a the live wire inside the plug was partially exposed and b the plug was an old one with full metal pins so i replaced the plug and rewired it we couldn t retest after rewiring as by that time the power had gone,end of life,Unknown,Food processor,????
small kitchen item,motor blown,end of life,Kenwood,Chef,????
tablet,no os,end of life,Unknown,Nero 10 inch,????
tablet,lost password wouldn t factory reset,repairable,linx,7,????
toaster,one side working the other side trips fuses heating element fused to case sorted that problem but there is a break elsewhere in the element that is inaccessible part fixed should no longer blow fuses but only one side working,fixed,Morphy Richards,Unknown,????
tablet,screen not responsive reset,fixed,Amazon,Fire 7,????
mobile,unable to get pictures from sim to memory card,fixed,Samsung,JS,????
laptop,display not working repaired start up software,fixed,Fujitsu,Laptop,????
handheld entertainment device,memory full deleted items,fixed,Apple,iPad,????
misc,battery and back light needs glue,repairable,Unknown,Clock,????
small kitchen item,the scale when switched one was displaying the error message err no further indication of the issue the resistance was the same between vcc and s vcc and s gnd and s and gnd and s also the resistance was slightly higher between vcc and gnd and s and s showing that the gauges and the wiring all seemed good there was no visible issue on the board so likely a chip gone bad,end of life,Unknown,Electronic scales,????
hi fi separates,dead even with power power supply dead,end of life,crossley,Turntable,????
hair beauty item,popped and rattles unable to open,end of life,Unknown,Hairdryer,????
misc,motor gone fuse checked,fixed,Kenwood,Food processor,????
toaster,one side doesn t stay down heating element gone,end of life,Russell Hobbs,Unknown,????
pc accessory,4 letters each side not working,end of life,Unknown,Bluetooth keyboard for tablet.,????
lamp,cable broken by switch,fixed,Unknown,Unknown,????
printer scanner,paper not feeding part is broken internally,end of life,Canon,Pixma MG3250,????
toy,broken wires battery pack snapped off soldered back in,fixed,Garmin,Unknown,????
portable radio,sound is fuzzy cleaned volume control potentiometer unable to test no power,repairable,Roberts,Unknown,????
toaster,1 side not staying down,end of life,DeLonghi,Toaster,????
headphones,one side not working circuit ok concluded that coil detached from speaker unable to open speaker,end of life,Unknown,Unknown,????
power tool,cable unsafe multiple joins removed unsafe sections needs new plug,repairable,Unknown,Drill,????
toaster,won t stay down element is ok but electromagnet not activating,end of life,M&S,Unknown,????
pc accessory,loses connection resoldered,fixed,Apple,Mac charger,????
hi fi separates,buzzy sound the speaker had had a fall from a bike and the driver of the speaker had torn apart as well as a capacitor too many things to replace to fix,end of life,q mini,Bluetooth speaker,????
small kitchen item,blades won t turn unable to open,end of life,Magimix,Magimix blender,????
small kitchen item,doesn t measure properly needs new spring this was a purely mechanical scale,end of life,Brabantia,Brabantia kitchen scales.,????
headphones,jack needs changing,fixed,LSTN,Unknown,????
portable radio,dropped and not working switch repaired,fixed,Roberts,Unknown,????
misc,switch inoperable screwheads stripped unable to open,end of life,Unknown,Baby scale,????
lamp,not working circuit board needs new bulb,repairable,Unknown,Unknown,????
vacuum,not working at all circuit board probably broken,end of life,Miele,Unknown,????
power tool,not powering up circuit battery problems,end of life,Bosch,Drill,????
misc,keeps rejecting cassette the tape insertion mechanism was stuck before the tape got fully in we spent a long time trying to figure out the mechanism eventually the owner had to go the right hand side when facing the front of the mechanism is where there is blockage that seems linked to a white plastic wheel at the bottom which is completely seized or a motor controlling it is no longer working the whole mechanism need to be taken apart to access this wheel which is underneath this caddy system,repairable,Unknown,VCR player,????
misc,not turning on cleaned out,end of life,Sony,PS4,????
portable radio,power cable loose cuts in and out,end of life,John Lewis,Clock Radio,????
laptop,won t turn on but has power reset date and time in bios,fixed,Toshiba,Unknown,????
hi fi separates,not working needs new drive belt,repairable,Sony,Cassette deck,????
handheld entertainment device,advice needed needs new hard drive,repairable,Apple,iPod Classic,????
misc,returned by manufacturer as internal mould invalidated warranty manufacturer had removed the plug to render the item inoperable and charged for return of the product cleaned out and new plug fitted,fixed,Meaco,DD8L Junior dehumidifier.,????
small kitchen item,not working unable to open,end of life,Braun,Hand blender,????
misc,battery leaking cleaned and replaced,fixed,Unknown,Non-digital camera,????
misc,doesn t hold charge,unknown,GIGA,House phone,????
misc,not working needed cleaning,fixed,Unknown,Convection heater,????
misc,disc not registered,fixed,Sony,Playstation,????
kettle,won t switch itself off when it boils safety issue opened and cleaned switch,fixed,Breville,Unknown,????
